Members Expense Disclosure -  October - December 2012,,,,,,,,,
,,,,,,,,,
Party,Member,Accommodation,,Travel,,Grand Total,Inter-Parliamentary Office of the Clerk,,
,,Wellington,Non Wellington,Air,Surface,,,,
Act, Banks John , -   , -   , -   , -   , -   , -   ,,
Act Total,, -   , -   , -   , -   , -   , -   ,,
Green, Browning Steffan ," 4,800 "," 1,328 "," 6,968 "," 6,634 "," 19,730 ", -   ,,
, Clendon David ," 4,774 "," 1,537 "," 10,760 "," 4,743 "," 21,814 ", -   ,,
, Delahunty Catherine ," 4,695 "," 1,145 "," 7,451 "," 7,149 "," 20,440 ", -   ,,
, Genter Julie-Anne ," 4,053 ", 382 ," 3,877 "," 1,372 "," 9,684 "," 5,817 ",,
, Graham Kennedy ," 3,941 ", 978 ," 10,259 "," 6,139 "," 21,317 ", -   ,,
, Hague Kevin ," 4,393 "," 1,080 "," 12,437 "," 4,767 "," 22,677 ", -   ,,
, Hughes Gareth , -   ," 1,756 "," 7,623 "," 3,776 "," 13,155 ", -   ,,
, Logie Jan , -   ," 1,878 "," 7,285 "," 3,794 "," 12,957 ", -   ,,
, Mathers Mojo ," 4,433 ", 690 ," 12,608 "," 4,042 "," 21,773 ", -   ,,
, Norman Russel , -   , 697 ," 5,172 "," 2,725 "," 8,594 ", -   ,,
, Roche Denise ," 5,322 "," 1,224 "," 9,080 "," 5,599 "," 21,225 ", -   ,,
, Sage Eugenie ," 2,610 ", 453 ," 7,385 "," 1,797 "," 12,245 ", -   ,,
, Turei Metiria ," 3,994 "," 1,087 "," 15,780 "," 6,271 "," 27,132 "," 1,828 ",,
, Walker Holly , -   , 289 ," 1,759 "," 1,847 "," 3,895 ", -   ,,
Green Total,," 43,015 "," 14,524 "," 118,444 "," 60,655 "," 236,638 ","7,645",,
Independent, Horan Brendan - Oct & Nov ," 1,670 ", 302 ," 2,666 "," 2,676 "," 7,314 ", -   ,,
, Horan Brendan - Dec , 417 , -   ," 3,885 "," 1,894 "," 6,196 ", -   ,,
Independent Total,," 2,087 ", 302 ," 6,551 "," 4,570 "," 13,510 ", -   ,,
Labour, Ardern Jacinda ," 3,811 ", 400 ," 6,680 "," 4,033 "," 14,924 ", -   ,,
, Chauvel Charles , -   ," 2,079 "," 7,556 "," 3,827 "," 13,462 "," 4,252 ",,
, Clark David ," 1,671 ", 139 ," 11,096 "," 3,062 "," 15,968 ", -   ,,
, Cosgrove Clayton ," 4,803 ", 876 ," 9,432 "," 5,585 "," 20,696 ", -   ,,
, Cunliffe David ," 6,000 ", 264 ," 9,146 "," 6,995 "," 22,405 ", -   ,,
, Curran Clare ," 3,390 ", 645 ," 6,759 "," 3,162 "," 13,956 ", -   ,,
, Dalziel Lianne ," 5,216 "," 1,253 "," 10,703 "," 4,932 "," 22,104 ", -   ,,
, Dyson Ruth ," 4,071 ", 452 ," 6,111 "," 5,760 "," 16,394 ", -   ,,
, Faafoi Kris , -   ," 1,654 "," 7,735 "," 9,110 "," 18,499 ", -   ,,
, Fenton Darien ," 3,339 ", 265 ," 7,418 "," 6,078 "," 17,100 ", -   ,,
, Goff Phil ," 3,129 ", 262 ," 7,090 "," 6,842 "," 17,323 ", -   ,,
, Hipkins Chris , -   ," 1,135 "," 3,057 "," 5,666 "," 9,858 ", -   ,,
, Horomia Parekura ," 3,549 "," 2,394 "," 8,897 "," 2,986 "," 17,826 "," 1,920 ",,
, Huo Raymond ," 2,155 ", 278 ," 5,321 "," 5,663 "," 13,417 ", -   ,,
, Jones Shane ," 2,344 ", 658 ," 12,398 "," 5,063 "," 20,463 ", -   ,,
, King Annette , -   , 539 ," 5,437 "," 4,818 "," 10,794 ", -   ,,
, Lees-Galloway Iain ," 2,583 ", 427 ," 1,889 "," 1,052 "," 5,951 ", -   ,,
, Little Andrew , -   , 803 ," 8,030 "," 4,283 "," 13,116 ", -   ,,
, Mackey Moana ," 4,278 "," 1,014 "," 7,615 "," 6,098 "," 19,005 "," 2,419 ",,
, Mahuta Nanaia ," 5,216 "," 1,951 "," 6,748 "," 7,073 "," 20,988 ", -   ,,
, Mallard Trevor , -   , 701 ," 4,857 "," 4,944 "," 10,502 ", -   ,,
, Moroney Sue ," 4,803 ", 704 ," 7,294 "," 5,988 "," 18,789 ", -   ,,
, O'Connor Damien ," 4,800 ", 405 ," 12,450 "," 10,053 "," 27,708 "," 10,600 ",,
, Parker David ," 4,800 ", 274 ," 13,802 "," 4,838 "," 23,714 ", -   ,,
, Prasad Rajen ," 4,782 ", 526 ," 5,260 "," 6,612 "," 17,180 ", -   ,,
, Robertson Grant , -   ," 1,133 "," 7,221 ", 952 ," 9,306 ", -   ,,
, Robertson Ross ," 2,610 ", 139 ," 5,619 "," 8,985 "," 17,353 ", -   ,,
, Shearer David ," 3,617 ", 125 ," 11,456 "," 10,589 "," 25,787 ", -   ,,
, Sio Su'a William ," 1,948 ", 139 ," 6,600 "," 6,051 "," 14,738 ", -   ,,
, Street Maryan , -   ," 1,585 "," 9,231 "," 3,810 "," 14,626 ", -   ,,
, Tirikatene Rino , -   ," 1,866 "," 8,258 "," 6,256 "," 16,380 "," 1,725 ",,
, Twyford Phil ," 2,355 ", 264 ," 7,977 "," 5,566 "," 16,162 ", -   ,,
, Wall Louisa ," 4,815 ", 417 ," 7,513 "," 6,702 "," 19,447 "," 1,662 ",,
, Woods Megan ," 5,214 ", 595 ," 7,389 "," 5,385 "," 18,583 ", -   ,,
Labour Total,," 95,299 "," 26,361 "," 264,045 "," 188,819 "," 574,524 "," 22,578 ",,
Mana, Harawira Hone ," 1,809 "," 4,057 "," 17,926 "," 9,890 "," 33,682 "," 2,174 ",,
Mana Total,," 1,809 "," 4,057 "," 17,926 "," 9,890 "," 33,682 ","2,174",,
Maori, Flavell Te Ururoa ," 5,205 "," 2,009 "," 14,740 "," 8,088 "," 30,042 "," 1,600 ",,
, Sharples Pita , -   , -   ," 4,132 ", -   ," 4,132 ", -   ,,
, Turia Tariana , -   , -   , -   , -   , -   , -   ,,
Maori Total,," 5,205 "," 2,009 "," 18,872 "," 8,088 "," 34,174 "," 1,600 ",,
National,  Adams Amy  , -   , -   ," 1,655 ", -   ," 1,655 ", -   ,,
,  Ardern Shane  ," 5,216 ", -   ," 6,423 "," 2,243 "," 13,882 ", -   ,,
,  Auchinvole Chris  ," 4,695 ", -   ," 9,971 "," 1,521 "," 16,187 ", -   ,,
,  Bakshi Kanwaljit Singh  ," 4,699 ", 139 ," 6,092 "," 5,257 "," 16,187 ", -   ,,
, Barry Maggie ," 2,919 ", -   ," 7,953 "," 2,839 "," 13,711 ", -   ,,
,  Bennett David  ," 2,366 ", 157 ," 4,353 "," 4,482 "," 11,358 ", -   ,,
,  Bennett Paula  , -   , -   ," 2,877 ", -   ," 2,877 ", -   ,,
,  Blue Jackie  ," 5,427 ", -   ," 9,122 "," 5,800 "," 20,349 ", -   ,,
,  Borrows Chester  , -   , -   , 531 , -   , 531 , -   ,,
,  Bridges Simon  , -   , -   ," 2,264 ", -   ," 2,264 ", -   ,,
,  Brownlee Gerry  , -   , -   ," 2,303 ", -   ," 2,303 ", -   ,,
,  Calder Cam  ," 4,392 ", 239 ," 6,058 "," 7,657 "," 18,346 ", -   ,,
,  Carter David  , -   , -   ," 3,623 ", -   ," 3,623 ", -   ,,
,  Coleman Jonathan  , -   , -   , 557 , -   , 557 , -   ,,
,  Collins Judith  , -   , -   ," 1,972 ", -   ," 1,972 ", -   ,,
,  Dean Jacqui  ," 5,216 ", 532 ," 5,900 "," 11,655 "," 23,303 ", -   ,,
,  English Bill  , -   , -   ," 3,712 ", -   ," 3,712 ", -   ,,
,  Finlayson Chris  , -   , -   , -   , -   , -   , -   ,,
,  Foss Craig  , -   , -   , 369 , -   , 369 , -   ,,
, Goldsmith Paul ," 1,039 ", -   ," 6,376 "," 3,281 "," 10,696 ", -   ,,
,  Goodhew Jo  , -   , -   , 661 ," 3,972 "," 4,633 ", -   ,,
,  Groser Tim  , -   , -   , 860 , -   , 860 , -   ,,
,  Guy Nathan  , -   , -   ," 1,556 ", -   ," 1,556 ", -   ,,
,  Hayes John  ," 5,217 ", 203 ," 1,992 "," 4,589 "," 12,001 ", -   ,,
,  Heatley Philip  , -   , -   ," 2,672 ", -   ," 2,672 ", -   ,,
,  Henare Tau  ," 5,217 ", 243 ," 8,124 "," 3,603 "," 17,187 "," 12,423 ",,
,  Hutchison Paul  ," 5,217 ", -   ," 6,068 "," 5,795 "," 17,080 ", -   ,,
,  Joyce Steven  , -   , -   ," 1,784 ", -   ," 1,784 ", -   ,,
,  Kaye Nikki  ," 4,590 ", -   ," 11,722 "," 8,552 "," 24,864 ", -   ,,
,  Key John  , -   , -   , 995 , -   , 995 , -   ,,
,  King Colin  ," 4,956 ", 893 ," 14,595 "," 5,401 "," 25,845 ", -   ,,
,  Lee Melissa  ," 4,800 ", -   ," 5,008 "," 5,739 "," 15,547 ", -   ,,
,  Lotu-liga Peseta Sam  ," 5,217 ", 122 ," 7,328 "," 4,710 "," 17,377 ", -   ,,
,  Macindoe Tim  ," 2,366 ", 116 ," 4,044 "," 3,696 "," 10,222 ", -   ,,
,  McClay Todd  ," 4,723 ", 434 ," 6,708 "," 13,369 "," 25,234 ", -   ,,
,  McCully Murray  , -   , -   , -   , -   , -   , -   ,,
, McKelvie Ian ," 4,803 ", 130 ," 3,367 "," 10,995 "," 19,295 ", -   ,,
, Mitchell Mark ," 2,871 ", -   ," 5,241 "," 3,259 "," 11,371 ", -   ,,
, Ngaro Alfred ," 2,922 ", 472 ," 10,896 "," 10,583 "," 24,873 ", -   ,,
, O'Connor Simon ," 4,779 ", -   ," 4,929 "," 5,503 "," 15,211 ", -   ,,
,  Parata Hekia  , -   , -   , 372 , -   , 372 , -   ,,
,  Ross Jami-Lee  ," 1,949 ", -   ," 6,041 "," 6,617 "," 14,607 ", -   ,,
,  Roy Eric  ," 3,773 ", 200 ," 6,076 "," 2,842 "," 12,891 ", -   ,,
,  Ryall Tony  , -   , -   ," 1,353 ", -   ," 1,353 ", -   ,,
, Sabin Mike ," 4,853 "," 1,018 "," 11,581 "," 7,175 "," 24,627 ", -   ,,
,  Shanks Katrina  , -   , 243 ," 1,594 "," 2,288 "," 4,125 "," 1,662 ",,
, Simpson Scott ," 3,339 ", 922 ," 5,335 "," 10,106 "," 19,702 ", -   ,,
,  Smith Lockwood  ," 9,375 ", -   ," 8,039 ", 846 ," 18,260 ", -   ,,
,  Smith Nick  ," 4,767 ", 916 ," 11,594 "," 4,488 "," 21,765 "," 3,238 ",,
,  Tisch Lindsay  ," 2,175 ", 394 ," 4,444 "," 7,934 "," 14,947 ", -   ,,
,  Tolley Anne  , -   , -   , 204 , -   , 204 , -   ,,
,  Tremain Chris  , -   , -   ," 1,196 ", -   ," 1,196 ", -   ,,
,  Upston Louise  ," 4,944 "," 1,582 "," 6,181 "," 7,613 "," 20,320 "," 6,341 ",,
,  Wagner Nicky  ," 1,739 ", -   ," 4,796 "," 2,808 "," 9,343 "," 12,469 ",,
,  Wilkinson Kate  , -   , -   , -   , -   , -   , -   ,,
,  Williamson Maurice  , -   , -   , 963 , -   , 963 , -   ,,
,  Woodhouse Michael  ," 5,510 ", 300 ," 9,074 "," 2,522 "," 17,406 ", -   ,,
, Yang Jian ," 1,950 ", 139 ," 3,696 "," 4,175 "," 9,960 ", -   ,,
,  Young Jonathan  ," 4,347 ", 296 ," 5,894 "," 4,565 "," 15,102 ", -   ,,
National Total,," 142,368 "," 9,690 "," 269,094 "," 198,480 "," 619,632 "," 36,133 ",,
New Zealand First,Martin Tracey," 4,174 ", 383 ," 6,398 "," 3,963 "," 14,918 ", -   ,,
,O'Rourke Denis," 4,803 ", -   ," 4,424 "," 3,322 "," 12,549 ", -   ,,
,Peters Winston," 2,644 ", 278 ," 9,965 "," 6,354 "," 19,241 ", -   ,,
,Prosser Richard," 4,800 ", 487 ," 13,757 "," 4,629 "," 23,673 ", -   ,,
,Stewart Barbara," 3,617 ", -   ," 4,439 "," 3,809 "," 11,865 ", -   ,,
,Lole-Taylor Asenati," 3,913 ", 103 ," 9,349 "," 13,193 "," 26,558 ", -   ,,
,Williams Andrew," 2,088 ", 382 ," 4,961 "," 3,520 "," 10,951 ", -   ,,
New Zealand First Total,," 26,039 "," 1,633 "," 53,293 "," 38,790 "," 119,755 ", -   ,,
United Future, Dunne Peter , -   , -   ," 1,173 ", -   ," 1,173 ", -   ,,
United Future Total,, -   , -   ," 1,173 ", -   ," 1,173 ", -   ,,
Grand Total,," 315,822 "," 58,576 "," 749,398 "," 509,292 "," 1,633,088 "," 70,130 ",,
,,,,,,,,,
Note: The expenses declared for Brendan Horan for the months of October and November 2012 were incurred as a Member of,,,,,,,,,
New Zealand First. The expenses declared fro Brendan Horan for the month of December 2012 were incurred as an Independent,,,,,,,,,
Member of Parliament.,,,,,,,,,
